Date,High,Low,Open,Close,Volume,Adj Close
2000-01-04,4657.830078125,4657.830078125,4657.830078125,4657.830078125,0.0,4657.830078125
2000-01-05,4541.75,4541.75,4541.75,4541.75,0.0,4541.75
2000-01-06,4500.68994140625,4500.68994140625,4500.68994140625,4500.68994140625,0.0,4500.68994140625
2000-01-07,4648.27001953125,4648.27001953125,4648.27001953125,4648.27001953125,0.0,4648.27001953125
2000-01-10,4714.02978515625,4714.02978515625,4714.02978515625,4714.02978515625,0.0,4714.02978515625
2000-01-11,4671.5,4671.5,4671.5,4671.5,0.0,4671.5
2000-01-12,4649.2998046875,4649.2998046875,4649.2998046875,4649.2998046875,0.0,4649.2998046875
2000-01-13,4688.35009765625,4688.35009765625,4688.35009765625,4688.35009765625,0.0,4688.35009765625
2000-01-14,4829.35986328125,4829.35986328125,4829.35986328125,4829.35986328125,0.0,4829.35986328125
2000-01-17,4884.5,4884.5,4884.5,4884.5,0.0,4884.5
2000-01-18,4761.0,4761.0,4761.0,4761.0,0.0,4761.0
2000-01-19,4768.3701171875,4768.3701171875,4768.3701171875,4768.3701171875,0.0,4768.3701171875
2000-01-20,4778.7099609375,4778.7099609375,4778.7099609375,4778.7099609375,0.0,4778.7099609375
2000-01-21,4719.2900390625,4719.2900390625,4719.2900390625,4719.2900390625,0.0,4719.2900390625
2000-01-24,4718.759765625,4718.759765625,4718.759765625,4718.759765625,0.0,4718.759765625
2000-01-25,4653.60986328125,4653.60986328125,4653.60986328125,4653.60986328125,0.0,4653.60986328125
2000-01-26,4721.02978515625,4721.02978515625,4721.02978515625,4721.02978515625,0.0,4721.02978515625
2000-01-27,4786.81982421875,4786.81982421875,4786.81982421875,4786.81982421875,0.0,4786.81982421875
2000-01-28,4781.93994140625,4781.93994140625,4781.93994140625,4781.93994140625,0.0,4781.93994140625
2000-01-31,4684.47998046875,4684.47998046875,4684.47998046875,4684.47998046875,0.0,4684.47998046875
2000-02-01,4792.0400390625,4792.0400390625,4792.0400390625,4792.0400390625,0.0,4792.0400390625
2000-02-02,4902.1201171875,4902.1201171875,4902.1201171875,4902.1201171875,0.0,4902.1201171875
2000-02-03,5046.1201171875,5046.1201171875,5046.1201171875,5046.1201171875,0.0,5046.1201171875
2000-02-04,5119.7900390625,5119.7900390625,5119.7900390625,5119.7900390625,0.0,5119.7900390625
2000-02-07,5041.080078125,5041.080078125,5041.080078125,5041.080078125,0.0,5041.080078125
2000-02-08,5176.169921875,5176.169921875,5176.169921875,5176.169921875,0.0,5176.169921875
2000-02-09,5191.7900390625,5191.7900390625,5191.7900390625,5191.7900390625,0.0,5191.7900390625
2000-02-10,5174.35009765625,5174.35009765625,5174.35009765625,5174.35009765625,0.0,5174.35009765625
2000-02-11,5195.669921875,5195.669921875,5195.669921875,5195.669921875,0.0,5195.669921875
2000-02-14,5166.080078125,5166.080078125,5166.080078125,5166.080078125,0.0,5166.080078125
2000-02-15,5043.330078125,5043.330078125,5043.330078125,5043.330078125,0.0,5043.330078125
2000-02-16,5063.72998046875,5063.72998046875,5063.72998046875,5063.72998046875,0.0,5063.72998046875
2000-02-17,5114.47021484375,5114.47021484375,5114.47021484375,5114.47021484375,0.0,5114.47021484375
2000-02-18,5079.58984375,5079.58984375,5079.58984375,5079.58984375,0.0,5079.58984375
2000-02-21,5033.330078125,5033.330078125,5033.330078125,5033.330078125,0.0,5033.330078125
2000-02-22,5024.0498046875,5024.0498046875,5024.0498046875,5024.0498046875,0.0,5024.0498046875
2000-02-23,5086.0,5086.0,5086.0,5086.0,0.0,5086.0
2000-02-24,5117.41015625,5117.41015625,5117.41015625,5117.41015625,0.0,5117.41015625
2000-02-25,5208.8701171875,5208.8701171875,5208.8701171875,5208.8701171875,0.0,5208.8701171875
2000-02-28,5126.330078125,5126.330078125,5126.330078125,5126.330078125,0.0,5126.330078125
2000-02-29,5182.6201171875,5182.6201171875,5182.6201171875,5182.6201171875,0.0,5182.6201171875
2000-03-01,5235.14013671875,5235.14013671875,5235.14013671875,5235.14013671875,0.0,5235.14013671875
2000-03-02,5406.3701171875,5406.3701171875,5406.3701171875,5406.3701171875,0.0,5406.3701171875
2000-03-03,5450.22021484375,5450.22021484375,5450.22021484375,5450.22021484375,0.0,5450.22021484375
2000-03-06,5464.43017578125,5464.43017578125,5464.43017578125,5464.43017578125,0.0,5464.43017578125
2000-03-07,5426.35986328125,5426.35986328125,5426.35986328125,5426.35986328125,0.0,5426.35986328125
2000-03-08,5364.52001953125,5364.52001953125,5364.52001953125,5364.52001953125,0.0,5364.52001953125
2000-03-09,5352.8798828125,5352.8798828125,5352.8798828125,5352.8798828125,0.0,5352.8798828125
2000-03-10,5416.81005859375,5416.81005859375,5416.81005859375,5416.81005859375,0.0,5416.81005859375
2000-03-13,5254.41015625,5254.41015625,5254.41015625,5254.41015625,0.0,5254.41015625
2000-03-14,5258.31982421875,5258.31982421875,5258.31982421875,5258.31982421875,0.0,5258.31982421875
2000-03-15,5083.14990234375,5083.14990234375,5083.14990234375,5083.14990234375,0.0,5083.14990234375
2000-03-16,5175.22998046875,5175.22998046875,5175.22998046875,5175.22998046875,0.0,5175.22998046875
2000-03-17,5231.35009765625,5231.35009765625,5231.35009765625,5231.35009765625,0.0,5231.35009765625
2000-03-20,5286.7099609375,5286.7099609375,5286.7099609375,5286.7099609375,0.0,5286.7099609375
2000-03-21,5266.22998046875,5266.22998046875,5266.22998046875,5266.22998046875,0.0,5266.22998046875
2000-03-22,5268.35009765625,5268.35009765625,5268.35009765625,5268.35009765625,0.0,5268.35009765625
2000-03-23,5259.14990234375,5259.14990234375,5259.14990234375,5259.14990234375,0.0,5259.14990234375
2000-03-24,5379.75,5379.75,5379.75,5379.75,0.0,5379.75
2000-03-27,5369.10986328125,5369.10986328125,5369.10986328125,5369.10986328125,0.0,5369.10986328125
2000-03-28,5426.56982421875,5426.56982421875,5426.56982421875,5426.56982421875,0.0,5426.56982421875
2000-03-29,5416.31982421875,5416.31982421875,5416.31982421875,5416.31982421875,0.0,5416.31982421875
2000-03-30,5251.97021484375,5251.97021484375,5251.97021484375,5251.97021484375,0.0,5251.97021484375
2000-03-31,5249.5498046875,5249.5498046875,5249.5498046875,5249.5498046875,0.0,5249.5498046875
2000-04-03,5118.3701171875,5118.3701171875,5118.3701171875,5118.3701171875,0.0,5118.3701171875
2000-04-04,5176.7099609375,5176.7099609375,5176.7099609375,5176.7099609375,0.0,5176.7099609375
2000-04-05,5044.169921875,5044.169921875,5044.169921875,5044.169921875,0.0,5044.169921875
2000-04-06,5179.9599609375,5179.9599609375,5179.9599609375,5179.9599609375,0.0,5179.9599609375
